model,device,dtype,prompt_len,trial,token_index,token_ms
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,35,50.629374999999754
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,36,50.28729100000007
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,37,46.12495800000005
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,38,48.094834000000475
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,39,49.794124999998246
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,40,48.045125000001576
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,41,49.93983299999982
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,42,49.326417000003175
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,43,45.15599999999864
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,44,49.847415999998645
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,45,50.37612499999966
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,46,48.52633299999809
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,47,49.22949999999915
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,48,47.84141600000069
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,49,48.77529200000197
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,50,47.31699999999961
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,51,51.73012499999885
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,52,47.31708299999937
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,53,51.34479200000186
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,54,48.69229100000183
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,55,48.02620799999957
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,56,46.372124999997766
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,57,48.3286249999999
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,58,49.69516699999943
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,59,50.975334000000316
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,60,51.16354200000117
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,61,52.00500000000119
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,62,46.13004200000148
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,63,47.680374999998776
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,64,52.172249999998144
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,65,47.53245799999917
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,66,46.23420799999778
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,67,54.85295900000153
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,68,47.272208999999066
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,69,48.7043749999998
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,70,48.054541999999145
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,71,47.6273340000013
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,72,50.20800000000136
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,73,50.19479199999921
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,74,48.09445899999787
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,75,50.02666700000091
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,76,49.971542000001534
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,77,47.09187499999956
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,78,54.539957999999444
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,79,50.66204199999902
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,80,54.308333000001596
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,81,52.73204100000228
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,82,49.28337499999813
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,83,47.58849999999981
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,84,48.225042000002105
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,85,47.263624999999365
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,86,50.46762499999957
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,87,52.12545900000265
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,88,48.28541700000244
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,89,47.85374999999803
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,90,49.44312499999981
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,91,49.61620799999977
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,92,49.16112500000125
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,93,49.52175000000025
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,94,51.75162500000141
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,95,50.50762499999806
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,96,50.024875000001856
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,97,49.510459000000395
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,98,50.23937500000031
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,99,45.074250000002536
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,100,50.28595899999999
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,101,51.438916999998696
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,102,48.98870799999955
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,103,49.56849999999946
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,104,54.30866600000073
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,105,49.40129099999879
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,106,48.638874999998194
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,107,53.28012500000057
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,108,50.533874999999284
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,109,46.21183300000098
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,110,46.929791000000165
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,111,52.16000000000065
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,112,49.5825829999994
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,113,53.16725000000133
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,114,50.27474999999981
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,115,50.71295799999831
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,116,45.67975000000146
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,117,48.74308300000152
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,118,50.42804099999998
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,119,50.04391699999999
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,120,50.42454199999824
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,121,53.293833999997986
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,122,50.59220800000119
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,123,50.0680409999994
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,124,49.98591700000077
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,125,48.920500000001255
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,126,48.65112499999924
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,127,50.465833000000515
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,0,34.18212500000095
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,1,33.668166999998306
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,2,34.05079199999861
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,3,35.76641700000138
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,4,42.95158300000068
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,5,51.12983300000096
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,6,70.94037499999928
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,7,50.84091700000215
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,8,43.41287500000135
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,9,41.426582999999795
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,10,43.53270800000075
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,11,52.17083300000169
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,12,52.83954200000096
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,13,44.91062499999998
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,14,47.17037500000032
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,15,45.35583299999857
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,16,47.83491599999934
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,17,49.2875419999983
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,18,48.66341700000021
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,19,48.553624999996714
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,20,47.76379200000136
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,21,46.83029199999922
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,22,46.48537499999961
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,23,48.59620799999931
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,24,47.06245899999928
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,25,45.396291999999505
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,26,50.068166999999164
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,27,50.14095800000007
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,28,47.373374999999385
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,29,48.39587500000064
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,30,45.578499999997746
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,31,47.8935000000007
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,32,48.59362499999875
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,33,50.179082999999736
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,34,49.67712499999877
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,35,48.938332999998835
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,36,48.94774999999996
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,37,46.57991699999897
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,38,49.91287500000041
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,39,46.50204200000019
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,40,49.654166999999916
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,41,48.817249999999035
